Pos_Score,Neu_Score,Neg_Score,Comp_Score
0.283,0.599,0.118,0.9792
0.149,0.788,0.063,0.8934
0.122,0.797,0.081,1.0
0.134,0.755,0.112,0.9999
0.092,0.786,0.121,-0.512
,,,
0.184,0.816,0.0,0.9757
0.195,0.787,0.019,0.9826
0.119,0.822,0.06,0.9625
0.095,0.78,0.125,0.0958
0.188,0.812,0.0,0.99
0.191,0.731,0.077,0.9888
0.362,0.6,0.038,0.9989
0.16,0.834,0.006,0.9845
0.032,0.912,0.056,-0.8477
0.108,0.78,0.112,0.5703
0.0,1.0,0.0,0.0
0.123,0.735,0.141,0.3504
0.346,0.644,0.01,0.9971
0.258,0.711,0.031,0.9867
0.216,0.738,0.046,0.9852
0.047,0.916,0.037,0.3719
0.051,0.673,0.276,-0.99
0.426,0.546,0.028,0.9996
0.041,0.959,0.0,0.8577
0.377,0.623,0.0,0.9954
0.322,0.652,0.026,0.9957
,,,
0.12,0.551,0.33,-0.9972
0.302,0.672,0.026,0.9936
0.242,0.66,0.098,0.9779
0.146,0.854,0.0,0.9893
0.227,0.636,0.137,0.9897
,,,
0.048,0.938,0.014,0.6479
0.422,0.534,0.043,0.99
0.042,0.879,0.079,-0.9623
0.114,0.831,0.055,0.8689
0.245,0.675,0.08,0.9946
0.196,0.721,0.082,0.9762
0.32,0.664,0.016,0.9913
0.491,0.474,0.035,0.9993
0.168,0.827,0.005,0.9938
0.139,0.861,0.0,0.975
0.422,0.548,0.03,0.9991
0.275,0.725,0.0,0.9964
0.633,0.367,0.0,0.9996
0.058,0.812,0.13,-0.9527
0.203,0.707,0.09,0.9706
0.251,0.702,0.047,0.9912
,,,
0.091,0.786,0.123,-1.0
0.378,0.608,0.015,0.9992
0.058,0.915,0.028,0.6697
0.088,0.838,0.074,0.7594
0.218,0.764,0.018,0.9933
0.211,0.532,0.258,-0.8479
0.085,0.842,0.073,0.8444
0.137,0.824,0.039,0.9846
0.159,0.808,0.033,0.9965
