,index,Rank,Song,Performer,SongID,spotify_genre,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Datetime,Year
0,242,1,Smoke Gets In Your Eyes,The Platters,Smoke Gets In Your EyesThe Platters,"['adult standards', 'brill building pop', 'doo-wop', 'lounge', 'rock-and-roll', 'rockabilly']",63.0,0.203,0.295,3.0,-11.155,1.0,0.0323,0.92,2.05e-06,0.17300000000000001,0.285,171.222,3.0,1959-01-31,1959
1,1967,2,Telstar,The Tornadoes,TelstarThe Tornadoes,['surf music'],8.0,0.289,0.728,6.0,-6.495,0.0,0.0385,0.000368,0.929,0.381,0.539,143.988,4.0,1963-01-19,1963
2,1659,2,Stranger On The Shore,Mr. Acker Bilk,Stranger On The ShoreMr. Acker Bilk,[],7.0,0.405,0.0201,10.0,-23.026999999999997,1.0,0.0376,0.988,0.888,0.111,0.271,77.95100000000001,4.0,1962-06-02,1962
3,1055,2,Calcutta,Lawrence Welk And His Orchestra,CalcuttaLawrence Welk And His Orchestra,[],32.0,0.46,0.675,7.0,-7.657,1.0,0.0279,0.825,0.91,0.23,0.9540000000000001,81.817,4.0,1961-02-25,1961
4,1174,2,Runaway,Del Shannon,RunawayDel Shannon,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']",61.0,0.594,0.5329999999999999,10.0,-7.992999999999999,0.0,0.0438,0.153,1.49e-05,0.172,0.7290000000000001,78.55199999999999,4.0,1961-05-20,1961
5,1109,2,Apache,Jorgen Ingmann & His Guitar,ApacheJorgen Ingmann & His Guitar,[],30.0,0.644,0.49200000000000005,9.0,-13.645999999999999,0.0,0.0468,0.894,0.922,0.11699999999999999,0.248,129.089,4.0,1961-04-08,1961
6,5323,2,Crimson And Clover,Tommy James And The Shondells,Crimson And CloverTommy James And The Shondells,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'rock', 'rock-and-roll', 'soft rock']",56.0,0.41200000000000003,0.59,11.0,-12.277000000000001,1.0,0.0701,0.255,0.0325,0.177,0.653,85.824,4.0,1969-03-01,1969
7,5596,3,Crystal Blue Persuasion,Tommy James And The Shondells,Crystal Blue PersuasionTommy James And The Shondells,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'rock', 'rock-and-roll', 'soft rock']",50.0,0.603,0.313,9.0,-12.921,1.0,0.0363,0.248,4.5299999999999997e-05,0.184,0.8170000000000001,99.17200000000001,4.0,1969-08-23,1969
8,2904,3,Come A Little Bit Closer,Jay & The Americans,Come A Little Bit CloserJay & The Americans,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",68.0,0.636,0.684,3.0,-9.302,1.0,0.057,0.52,0.0015,0.534,0.8809999999999999,132.509,4.0,1964-11-28,1964
9,1241,4,Raindrops,Dee Clark,RaindropsDee Clark,"['brill building pop', 'chicago soul', 'doo-wop', 'rhythm and blues']",21.0,0.381,0.7190000000000001,7.0,-7.6129999999999995,1.0,0.0494,0.452,0.0,0.6890000000000001,0.563,114.086,1.0,1961-07-15,1961
